Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
85,Alex Caruso,SG,29,CHI,43,31,26.7,3.5,7.3,.486,1.8,4.4,.405,1.7,2.9,.610,.609,1.2,1.5,.758,1.0,2.7,3.6,2.8,1.3,1.1,1.3,2.5,10.0,carusal01
86,Colin Castleton,C,23,LAL,5,0,6.4,1.2,1.8,.667,0.0,0.0,,1.2,1.8,.667,.667,0.8,0.8,1.000,0.8,1.0,1.8,0.6,0.0,0.0,0.2,1.2,3.2,castlco01
87,Malcolm Cazalon,SG,22,DET,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cazalma01
88,Julian Champagnie,SF,22,SAS,43,28,16.4,1.9,4.7,.404,1.3,3.4,.381,0.6,1.3,.464,.542,0.8,1.0,.810,0.5,1.9,2.3,1.0,0.6,0.6,0.7,1.1,5.9,champju02
89,Max Christie,SG,20,LAL,41,6,17.2,1.8,4.3,.423,0.7,2.1,.349,1.1,2.2,.494,.509,0.6,0.8,.788,0.2,2.4,2.6,1.0,0.4,0.3,0.8,1.2,5.0,chrisma02
90,Sidy Cissoko,SF,19,SAS,5,0,6.4,0.2,1.2,.167,0.0,0.8,.000,0.2,0.4,.500,.167,0.8,0.8,1.000,0.0,1.2,1.2,0.0,0.6,0.0,0.2,0.4,1.2,cissosi01
91,Jordan Clarkson,SG,31,UTA,41,19,30.0,6.3,15.0,.417,1.6,5.5,.291,4.7,9.5,.490,.470,3.3,3.8,.878,1.0,2.5,3.5,4.9,0.6,0.1,2.8,1.4,17.5,clarkjo01
92,Nic Claxton,C,24,BRK,38,38,29.6,5.4,8.5,.637,0.0,0.1,.333,5.4,8.4,.639,.638,1.6,2.8,.562,3.0,7.4,10.5,2.0,0.7,2.2,1.2,2.5,12.4,claxtni01
93,Noah Clowney,PF,19,BRK,3,0,10.0,2.0,3.3,.600,0.0,0.3,.000,2.0,3.0,.667,.600,1.3,1.3,1.000,1.0,1.3,2.3,1.0,0.0,0.3,0.3,1.0,5.3,clownno01
94,Amir Coffey,SF,26,LAC,36,7,17.0,2.1,3.6,.569,0.8,1.7,.435,1.3,1.9,.691,.673,0.8,0.9,.871,0.4,1.4,1.7,0.7,0.5,0.1,0.4,1.2,5.6,coffeam01
95,John Collins,PF,26,UTA,47,45,27.7,5.6,10.7,.518,1.2,3.5,.343,4.3,7.2,.604,.574,1.8,2.3,.771,2.2,5.8,8.0,1.1,0.6,0.8,1.4,2.7,14.1,collijo01
96,Zach Collins,C,26,SAS,38,24,25.0,4.6,9.7,.476,0.9,3.3,.283,3.7,6.4,.576,.524,1.9,2.4,.763,1.9,3.8,5.7,3.1,0.6,0.7,2.2,3.3,12.1,colliza01
97,Mike Conley,PG,36,MIN,45,45,29.0,3.6,8.1,.440,2.3,5.2,.436,1.3,2.9,.447,.579,1.2,1.3,.915,0.3,2.5,2.8,6.4,1.0,0.2,1.1,1.7,10.6,conlemi01
98,Pat Connaughton,SF,31,MIL,44,0,20.7,1.8,4.1,.440,1.1,3.0,.374,0.7,1.2,.608,.574,0.4,0.6,.704,0.6,2.5,3.1,1.7,0.5,0.2,0.5,1.2,5.2,connapa01
99,Bilal Coulibaly,SF,19,WAS,48,3,26.6,3.0,6.5,.460,1.0,2.6,.376,2.0,3.9,.516,.535,1.2,1.8,.686,0.8,3.2,4.0,1.8,0.9,0.8,1.4,2.1,8.2,coulibi01
100,Ricky Council IV,SG,22,PHI,8,0,5.5,1.0,2.1,.471,0.3,0.4,.667,0.8,1.8,.429,.529,1.1,1.6,.692,0.5,0.5,1.0,0.1,0.3,0.0,0.0,0.1,3.4,councri01
101,Robert Covington,SF-PF,33,TOT,29,6,16.8,1.5,3.4,.439,0.7,1.9,.339,0.8,1.4,.571,.536,0.8,0.9,.846,1.1,2.3,3.3,0.8,1.3,0.6,0.4,1.9,4.4,covinro01
101,Robert Covington,PF,33,LAC,3,3,23.0,1.0,3.0,.333,0.7,2.7,.250,0.3,0.3,1.000,.444,0.3,0.7,.500,0.7,2.0,2.7,2.3,2.0,0.7,0.0,2.3,3.0,covinro01
101,Robert Covington,SF,33,PHI,26,3,16.1,1.5,3.4,.449,0.7,1.8,.354,0.9,1.6,.561,.545,0.8,0.9,.875,1.1,2.3,3.4,0.7,1.3,0.6,0.4,1.9,4.5,covinro01
102,Torrey Craig,SF,33,CHI,28,7,20.9,2.2,5.1,.424,1.1,2.9,.375,1.1,2.3,.484,.528,0.6,0.8,.783,1.8,3.0,4.8,1.0,0.6,0.4,0.6,2.5,6.1,craigto01
103,Jae Crowder,PF,33,MIL,19,4,23.5,2.4,5.5,.438,1.5,3.8,.397,0.9,1.7,.531,.576,0.5,0.8,.563,0.4,2.7,3.1,1.4,0.7,0.2,0.4,1.7,6.8,crowdja01
104,Cade Cunningham,PG,22,DET,40,40,34.3,8.4,18.7,.448,1.8,5.3,.343,6.6,13.4,.490,.497,3.8,4.5,.854,0.4,3.6,4.0,7.5,1.0,0.3,3.7,2.8,22.4,cunnica01
105,Seth Curry,SG,33,DAL,36,3,12.7,1.5,4.0,.372,0.8,2.2,.363,0.7,1.8,.385,.472,0.5,0.5,.895,0.4,1.0,1.4,0.8,0.5,0.1,0.4,0.9,4.3,curryse01
106,Stephen Curry,PG,35,GSW,43,43,33.7,9.1,19.8,.459,4.9,11.8,.411,4.2,7.9,.531,.582,5.1,5.5,.932,0.5,3.9,4.4,5.0,0.8,0.4,3.0,1.8,28.1,curryst01
107,Dyson Daniels,PG,20,NOP,49,15,21.8,2.1,4.9,.429,0.6,2.1,.282,1.5,2.8,.540,.490,0.6,1.0,.646,1.0,2.7,3.7,2.7,1.3,0.3,1.0,1.6,5.4,daniedy01
108,Anthony Davis,C,30,LAL,47,47,35.9,9.4,17.0,.551,0.4,1.2,.309,9.0,15.9,.568,.561,5.5,6.9,.807,3.1,9.0,12.2,3.7,1.1,2.4,2.1,2.5,24.7,davisan02
109,Johnny Davis,SG,21,WAS,23,0,8.0,1.0,2.6,.407,0.1,0.3,.286,1.0,2.3,.423,.424,0.2,0.3,.571,0.4,0.5,0.9,0.3,0.3,0.1,0.3,0.6,2.3,davisjo06
110,JD Davison,SG,21,BOS,2,0,3.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,1.0,1.0,1.000,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,davisjd01
111,Dexter Dennis,SG,24,DAL,4,0,7.5,2.5,4.8,.526,0.3,2.0,.125,2.3,2.8,.818,.553,0.3,0.8,.333,0.3,2.0,2.3,1.0,0.0,0.3,0.8,0.3,5.5,dennide01
112,DeMar DeRozan,SF,34,CHI,48,48,37.4,7.6,16.4,.465,0.9,2.8,.331,6.7,13.6,.493,.494,5.9,6.9,.846,0.6,3.5,4.1,5.4,1.2,0.7,1.6,2.1,22.0,derozde01
113,Moussa Diabaté,C,22,LAC,10,0,5.8,0.9,1.8,.500,0.0,0.0,,0.9,1.8,.500,.500,0.9,1.2,.750,1.4,0.6,2.0,0.4,0.4,0.0,0.2,0.4,2.7,diabamo01
114,Mamadi Diakite,PF,27,SAS,3,0,5.3,1.3,1.7,.800,0.0,0.0,,1.3,1.7,.800,.800,1.3,2.0,.667,0.3,0.7,1.0,0.7,0.0,0.3,0.0,0.3,4.0,diakima01
115,Hamidou Diallo,SG,25,WAS,2,0,2.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,1.0,0.0,1.0,0.5,1.0,0.0,0.5,0.5,1.0,diallha01
116,Gradey Dick,SG,20,TOR,28,1,13.9,1.3,4.0,.333,0.7,2.4,.279,0.6,1.5,.419,.419,0.7,0.8,.909,0.5,1.2,1.7,1.1,0.5,0.0,0.6,1.3,4.0,dickgr01
117,Ousmane Dieng,PF,20,OKC,25,0,11.5,1.5,3.4,.442,0.7,2.2,.309,0.8,1.2,.677,.541,0.5,0.6,.857,0.4,1.4,1.8,0.9,0.1,0.0,0.5,0.7,4.2,diengou01
118,Spencer Dinwiddie,PG,30,BRK,46,46,30.4,4.1,10.4,.392,1.9,5.8,.325,2.2,4.6,.479,.483,2.7,3.4,.783,0.6,2.8,3.3,6.0,0.8,0.2,1.3,1.8,12.7,dinwisp01
119,Donte DiVincenzo,SG,27,NYK,50,32,23.7,4.4,9.8,.451,2.9,7.0,.416,1.5,2.8,.540,.600,0.9,1.2,.733,0.8,2.5,3.2,2.3,1.1,0.3,1.1,2.0,12.6,divindo01
120,Luka Dončić,PG,24,DAL,41,41,37.6,11.8,24.0,.489,3.9,10.4,.374,7.9,13.7,.576,.569,7.4,9.5,.784,0.8,7.8,8.6,9.6,1.4,0.6,4.0,1.9,34.8,doncilu01
121,Luguentz Dort,SF,24,OKC,48,48,28.5,3.6,8.2,.438,1.9,4.8,.390,1.7,3.4,.506,.552,1.6,2.0,.811,1.2,2.7,3.9,1.3,0.8,0.7,0.9,3.0,10.7,dortlu01
122,Ayo Dosunmu,SG,24,CHI,48,10,24.6,3.7,7.6,.493,1.2,3.1,.380,2.5,4.4,.573,.572,1.0,1.2,.793,0.7,1.9,2.6,2.2,0.8,0.5,1.0,2.0,9.6,dosunay01
123,Andre Drummond,C,30,CHI,50,7,15.8,3.1,5.7,.553,0.0,0.0,.000,3.1,5.6,.557,.553,1.4,2.6,.558,3.3,5.0,8.3,0.5,1.1,0.6,1.0,1.7,7.7,drumman01
124,Chris Duarte,SF,26,SAC,35,11,13.2,1.3,3.6,.360,0.6,1.9,.313,0.7,1.7,.414,.444,0.5,0.7,.750,0.4,1.5,1.8,0.9,0.5,0.1,0.6,1.7,3.7,duartch01
125,Kris Dunn,PG,29,UTA,43,25,17.6,2.1,4.5,.479,0.6,1.4,.410,1.6,3.0,.511,.544,0.3,0.4,.667,0.7,2.2,2.9,4.3,0.9,0.4,1.3,1.9,5.1,dunnkr01
126,Kevin Durant,PF,35,PHO,43,43,37.0,10.2,18.9,.538,2.3,5.0,.461,7.8,13.9,.565,.599,5.7,6.5,.874,0.5,5.8,6.3,5.7,0.9,1.3,3.1,1.8,28.3,duranke01
127,Jalen Duren,C,20,DET,34,33,29.9,6.2,9.6,.649,0.0,0.1,.000,6.2,9.5,.653,.649,1.5,2.1,.699,3.3,8.4,11.6,2.5,0.4,0.8,1.9,3.2,13.9,durenja01
128,Tari Eason,PF,22,HOU,22,0,21.8,4.0,8.6,.466,0.8,2.3,.360,3.2,6.3,.504,.513,1.0,1.5,.636,2.1,4.9,7.0,1.2,1.4,0.9,0.9,2.3,9.8,easonta01
129,Anthony Edwards,SG,22,MIN,47,47,34.9,8.9,19.0,.466,2.5,6.4,.389,6.4,12.6,.505,.531,5.4,6.4,.838,0.6,4.5,5.1,5.1,1.2,0.5,3.4,1.9,25.6,edwaran01
130,Kessler Edwards,SF,23,SAC,33,0,4.9,0.5,1.3,.395,0.3,0.8,.346,0.2,0.5,.471,.500,0.1,0.1,.750,0.2,0.6,0.8,0.3,0.1,0.1,0.0,0.4,1.4,edwarke02
131,Keon Ellis,SG,24,SAC,28,3,12.2,1.3,3.0,.434,0.9,2.4,.382,0.4,0.5,.667,.590,0.4,0.6,.647,0.3,1.0,1.3,1.3,0.5,0.4,0.5,1.4,3.9,elliske01
132,Joel Embiid,C,29,PHI,34,34,34.0,11.8,22.2,.533,1.2,3.3,.366,10.6,18.9,.562,.560,10.5,11.9,.883,2.6,8.7,11.3,5.7,1.1,1.8,3.7,2.9,35.3,embiijo01
133,Drew Eubanks,C,26,PHO,44,3,16.1,2.3,3.6,.639,0.1,0.1,1.000,2.2,3.5,.632,.649,1.0,1.4,.742,1.4,2.9,4.3,1.0,0.3,0.8,1.0,1.7,5.7,eubandr01
134,Tosan Evbuomwan,SF,22,MEM,2,0,23.0,1.0,4.5,.222,1.0,2.5,.400,0.0,2.0,.000,.333,0.0,0.0,,4.0,2.5,6.5,2.0,0.0,0.0,0.5,1.5,3.0,evbuoto01
135,Dante Exum,PG,28,DAL,32,14,19.7,3.6,6.3,.571,1.0,2.0,.477,2.7,4.3,.616,.648,1.0,1.4,.727,0.6,2.2,2.8,2.8,0.6,0.2,0.8,1.6,9.2,exumda01
136,Bruno Fernando,C,25,ATL,13,0,6.5,1.1,2.1,.519,0.0,0.2,.000,1.1,1.8,.583,.519,0.8,1.5,.526,0.5,1.5,2.0,0.3,0.2,0.4,0.5,0.9,2.9,fernabr01
137,Dorian Finney-Smith,PF,30,BRK,42,31,28.8,3.3,8.1,.412,2.1,5.5,.383,1.2,2.6,.473,.541,0.3,0.5,.700,1.7,3.1,4.8,1.4,0.7,0.6,0.8,2.2,9.1,finnedo01
138,Malachi Flynn,PG,25,TOT,44,0,11.9,1.4,3.5,.404,0.7,2.0,.333,0.8,1.5,.500,.500,0.6,0.8,.788,0.3,1.3,1.6,1.8,0.4,0.1,0.8,1.0,4.1,flynnma01
138,Malachi Flynn,PG,25,TOR,31,0,15.3,1.8,4.4,.409,0.9,2.6,.350,0.9,1.8,.491,.511,0.5,0.7,.773,0.4,1.7,2.1,2.4,0.6,0.2,1.1,1.4,5.1,flynnma01
138,Malachi Flynn,PG,25,NYK,13,0,3.8,0.5,1.5,.368,0.2,0.8,.200,0.4,0.7,.556,.421,0.7,0.8,.818,0.0,0.4,0.4,0.4,0.1,0.0,0.2,0.2,1.9,flynnma01
139,Simone Fontecchio,SF,28,UTA,49,33,23.2,3.3,7.2,.452,1.9,4.7,.394,1.4,2.5,.561,.581,0.7,0.8,.800,1.0,2.5,3.5,1.4,0.6,0.4,1.0,1.7,9.0,fontesi01
140,Jordan Ford,PG,25,SAC,6,0,3.7,0.7,1.2,.571,0.3,0.5,.667,0.3,0.7,.500,.714,0.3,0.3,1.000,0.0,0.3,0.3,0.3,0.0,0.0,0.2,0.0,2.0,fordjo01
141,Trent Forrest,SG,25,ATL,19,0,10.6,0.8,2.5,.319,0.1,0.4,.286,0.7,2.1,.325,.340,0.4,0.5,.800,0.3,1.1,1.4,2.0,0.4,0.1,0.5,0.9,2.1,forretr01
142,Evan Fournier,SG,31,NYK,3,0,13.0,1.3,6.7,.200,0.7,5.0,.133,0.7,1.7,.400,.250,0.7,0.7,1.000,0.0,1.3,1.3,1.0,1.3,0.0,0.3,1.3,4.0,fournev01
143,De'Aaron Fox,PG,26,SAC,42,42,35.6,9.7,20.7,.470,3.0,7.9,.380,6.7,12.8,.526,.543,5.0,6.9,.721,0.8,3.2,4.0,5.4,1.8,0.4,2.5,2.5,27.5,foxde01
144,Javon Freeman-Liberty,PG,24,TOR,2,0,2.0,0.5,1.5,.333,0.0,0.0,,0.5,1.5,.333,.333,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,freemja01
145,Alex Fudge,SF,20,LAL,4,0,3.5,0.3,1.5,.167,0.0,0.5,.000,0.3,1.0,.250,.167,0.5,0.5,1.000,0.5,0.0,0.5,0.0,0.0,0.0,0.3,0.3,1.0,fudgeal01
146,Markelle Fultz,PG,25,ORL,17,11,24.5,4.3,8.4,.510,0.0,0.2,.000,4.3,8.2,.521,.510,0.4,0.8,.462,1.2,2.0,3.2,3.6,1.4,0.4,1.1,1.7,8.9,fultzma01
147,Daniel Gafford,C,25,WAS,44,44,26.3,4.5,6.4,.695,0.0,0.0,,4.5,6.4,.695,.695,1.9,2.7,.706,2.9,5.0,7.9,1.6,1.0,2.1,1.0,3.3,10.8,gaffoda01
148,Danilo Gallinari,PF-SF,35,TOT,31,0,15.0,2.2,4.9,.447,0.9,2.5,.355,1.3,2.5,.539,.536,2.2,2.6,.850,0.4,2.4,2.8,1.3,0.3,0.1,0.4,1.1,7.5,gallida01
148,Danilo Gallinari,PF,35,WAS,26,0,14.8,2.2,5.0,.435,0.8,2.5,.313,1.4,2.6,.552,.511,1.8,2.2,.839,0.5,2.5,2.9,1.2,0.2,0.1,0.5,1.0,7.0,gallida01
148,Danilo Gallinari,SF,35,DET,5,0,15.8,2.2,4.2,.524,1.4,2.4,.583,0.8,1.8,.444,.690,4.2,4.8,.875,0.2,1.8,2.0,2.0,0.4,0.2,0.2,1.6,10.0,gallida01
149,Darius Garland,PG,24,CLE,23,23,32.5,7.1,15.0,.471,1.7,5.0,.339,5.4,10.0,.537,.527,3.5,4.2,.844,0.5,2.1,2.6,5.7,1.6,0.2,3.6,1.5,19.4,garlada01
150,Usman Garuba,PF,21,GSW,2,0,3.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,garubus01
151,Luka Garza,C,25,MIN,11,0,3.0,0.9,2.1,.435,0.2,0.6,.286,0.7,1.5,.500,.478,0.5,0.9,.600,0.5,0.4,0.8,0.2,0.0,0.0,0.2,0.8,2.5,garzalu01
152,Kaiser Gates,SF,27,NOP,1,0,7.0,0.0,4.0,.000,0.0,2.0,.000,0.0,2.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,gateska01
153,Keyonte George,PG,20,UTA,45,16,24.1,3.5,9.2,.383,1.7,5.2,.332,1.8,4.0,.448,.476,2.5,3.0,.824,0.3,2.6,2.9,4.2,0.4,0.1,2.0,1.1,11.2,georgke01
154,Paul George,PF,33,LAC,45,45,33.9,7.9,17.2,.460,3.4,8.3,.409,4.5,8.9,.507,.559,3.5,3.8,.912,0.6,4.9,5.5,3.6,1.6,0.4,2.1,2.9,22.7,georgpa01
155,Taj Gibson,PF,38,NYK,11,0,8.8,0.6,1.3,.500,0.0,0.4,.000,0.6,0.9,.700,.500,0.0,0.0,,0.5,1.1,1.6,0.5,0.1,0.5,0.2,1.8,1.3,gibsota01
156,Josh Giddey,SG,21,OKC,49,49,25.0,4.8,10.5,.453,0.9,2.8,.326,3.8,7.7,.500,.497,1.3,1.5,.827,1.4,4.9,6.3,4.6,0.7,0.5,2.1,1.2,11.7,giddejo01
157,Harry Giles,C,25,BRK,16,0,5.1,1.4,2.8,.500,0.2,0.7,.273,1.2,2.1,.576,.534,0.4,0.8,.538,0.8,0.9,1.6,0.4,0.1,0.2,0.4,0.9,3.4,gilesha01
158,Shai Gilgeous-Alexander,PG,25,OKC,49,49,34.6,10.9,19.9,.548,1.2,3.4,.353,9.7,16.5,.588,.578,8.1,9.1,.891,0.9,4.7,5.7,6.6,2.3,0.9,2.2,2.6,31.1,gilgesh01
159,Anthony Gill,PF,31,WAS,29,0,5.6,0.8,1.6,.489,0.1,0.4,.250,0.7,1.2,.571,.521,0.4,0.6,.750,0.4,0.8,1.3,0.4,0.2,0.2,0.5,0.4,2.1,gillan01
160,Collin Gillespie,PG,24,DEN,15,0,6.5,0.8,1.7,.480,0.3,0.9,.308,0.5,0.8,.667,.560,0.3,0.3,.800,0.1,0.3,0.3,0.6,0.3,0.0,0.3,0.8,2.1,gilleco01
161,Jacob Gilyard,PG,25,MEM,33,12,17.4,1.5,3.7,.418,1.3,3.1,.426,0.2,0.6,.381,.594,0.1,0.1,1.000,0.2,0.8,1.1,3.5,0.7,0.1,0.7,1.0,4.5,gilyaja01
162,Rudy Gobert,C,31,MIN,49,49,33.2,5.1,8.0,.646,0.0,0.0,.000,5.1,7.9,.649,.646,3.4,5.3,.643,3.4,9.1,12.5,1.2,0.6,2.1,1.6,2.9,13.7,goberru01
163,Jordan Goodwin,PG,25,PHO,39,0,14.3,1.9,4.9,.389,0.6,2.1,.288,1.3,2.9,.460,.448,0.6,0.7,.852,1.0,2.0,3.0,2.0,0.6,0.2,0.7,1.1,5.0,goodwjo01
164,Aaron Gordon,PF,28,DEN,45,45,31.9,5.4,9.9,.543,0.6,1.8,.305,4.8,8.1,.596,.571,2.3,3.7,.630,2.6,4.0,6.6,3.1,0.8,0.7,1.3,1.9,13.6,gordoaa01
165,Eric Gordon,SG,35,PHO,42,20,30.0,4.6,10.2,.454,2.5,6.5,.383,2.1,3.6,.582,.577,0.8,1.0,.780,0.3,1.8,2.1,2.3,1.0,0.5,1.3,1.3,12.5,gordoer01
166,Devonte' Graham,PG,28,SAS,10,0,8.8,1.1,2.8,.393,0.7,2.0,.350,0.4,0.8,.500,.518,0.6,0.8,.750,0.2,1.1,1.3,1.9,0.3,0.1,0.3,0.4,3.5,grahade01
167,Jerami Grant,PF,29,POR,43,43,33.6,7.3,15.8,.461,2.1,5.1,.403,5.2,10.7,.489,.527,4.6,5.7,.809,0.7,3.0,3.7,2.6,0.7,0.7,2.0,2.2,21.3,grantje01
168,A.J. Green,SG,24,MIL,30,0,7.9,1.2,2.7,.444,1.0,2.3,.429,0.2,0.4,.545,.630,0.2,0.2,1.000,0.2,0.7,0.9,0.5,0.0,0.0,0.0,0.9,3.6,greenaj01
169,Danny Green,SG,36,PHI,2,0,9.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,greenda02
170,Draymond Green,PF,33,GSW,22,19,26.9,3.3,6.8,.480,1.1,2.7,.417,2.1,4.1,.522,.563,1.5,1.9,.805,1.2,5.0,6.2,6.2,0.7,0.9,2.5,3.1,9.2,greendr01
171,Jalen Green,SG,21,HOU,49,49,30.8,6.2,15.1,.411,2.1,6.6,.316,4.1,8.5,.486,.480,3.7,4.5,.810,0.4,4.4,4.8,3.3,0.7,0.3,2.1,1.3,18.1,greenja05
172,Jeff Green,PF,37,HOU,47,4,16.6,2.0,4.0,.500,0.4,1.3,.288,1.6,2.7,.598,.546,1.8,2.1,.830,0.6,1.5,2.1,0.7,0.2,0.4,0.7,1.5,6.1,greenje02
173,Josh Green,SG,23,DAL,36,19,27.1,3.3,6.8,.476,1.4,3.5,.400,1.9,3.4,.554,.577,0.6,1.1,.579,0.6,2.6,3.2,2.5,0.7,0.1,1.2,2.0,8.5,greenjo02
174,AJ Griffin,SF,20,ATL,18,0,7.3,0.7,2.5,.289,0.5,1.8,.273,0.2,0.7,.333,.389,0.1,0.1,1.000,0.1,0.7,0.8,0.2,0.1,0.1,0.3,0.3,2.1,griffaj01
